name,ratings,location1,location2,est. bill amt.,cuisine1,cuisine2,cuisine3
Williams Kitchen,4.3,Shakespeare Sarani,Central Kolkata,"1,500 for 2 (approx)",North Indian,Asian,Chinese
Starlight,4.3,Salt Lake,East Kolkata,900 for 2 (approx),Chinese,Fast Food,North Indian
The Salt House,4.3,Shakespeare Sarani,Central Kolkata,"2,000 for 2 (approx)",Continental,Italian,Pizza
Chowman,4.2,Sinthi,North Kolkata,"1,000 for 2 (approx)",Chinese,Asian,Thai
Azad Hind Dhaba,3.5,Salt Lake,East Kolkata,800 for 2 (approx),North Indian,Chinese,Mughlai
Arhaam Rasoi,3.5,"Hotel Crestwood,",Park Circus,600 for 2 (approx),Chinese,Mughlai,Bengali
Chowman,4.3,Salt Lake,East Kolkata,"1,000 for 2 (approx)",Chinese,Asian,Thai
Q33,4.4,"Quest Mall,",Ballygunge,900 for 2 (approx),Continental,Fast Food,Beverages
Pavilion,4.0,Park Circus,South Kolkata,200 for 2 (approx),North Indian,Chinese,Fast Food
Botanik,4.4,"Golden Parkk,",Ho Chi Minh Sarani,"2,800 for 2 (approx)",North Indian,Asian,Chinese
Kaidi Kitchen,4.3,Park Street,Central Kolkata,"1,400 for 2 (approx)",North Indian,Asian,Italian
One8 Commune,4.4,Park Street,Central Kolkata,"2,000 for 2 (approx)",North Indian,Italian,Continental
Santa's Fantasea,4.3,Salt Lake,East Kolkata,"1,000 for 2 (approx)",Chinese,Thai,Seafood
Junglee Cafe,3.8,AJC Bose Road,South Kolkata,500 for 2 (approx),North Indian,Chinese,Fast Food
Deck 88,4.4,"The Astor Kolkata,",Shakespeare Sarani,"2,000 for 2 (approx)",Continental,North Indian,Asian
The Gupta's,4.2,Shakespeare Sarani,Central Kolkata,700 for 2 (approx),North Indian,Italian,South Indian
Bombay Brasserie,4.3,"Quest Mall,",Ballygunge,"1,200 for 2 (approx)",Modern Indian,Fast Food,Beverages
Kebab-e-Que,4.2,"The Astor Kolkata,",Shakespeare Sarani,"1,800 for 2 (approx)",North Indian,Chinese,Asian
Monkey Bar,4.4,"Fort Knox Mall,",Camac Street,"1,800 for 2 (approx)",Chinese,Continental,North Indian
The Irish House,4.3,"Quest Mall,",Ballygunge,"2,000 for 2 (approx)",American,European,Continental
Wafira,4.0,Ho Chi Minh Sarani,Central Kolkata,"2,800 for 2 (approx)",North Indian,Continental,Chinese
Nawwarah Dine Lounge & Sweets,4.2,Ballygunge,South Kolkata,"1,400 for 2 (approx)",Chinese,North Indian,Continental
Stun The Sun,3.7,Camac Street,Central Kolkata,800 for 2 (approx),Chinese,Continental,Mexican
Subway,3.6,Shakespeare Sarani,Central Kolkata,500 for 2 (approx),Fast Food,Italian,Beverages
Krazy For Chocolates,4.2,"Regency Building,",Minto Park,900 for 2 (approx),North Indian,Chinese,South Indian
Darao Pathik Bor,4.3,Dumdum,24 Parganas North,"1,200 for 2 (approx)",Chinese,North Indian,Mughlai
Zobet,4.4,"Fort Knox Mall,",Camac Street,"1,000 for 2 (approx)",Modern Indian,Sushi,Fast Food
Cafe 82,4.1,Bidhannagar,East Kolkata,"1,400 for 2 (approx)",Continental,Fast Food,Beverages
KhanaSutra,4.1,"Park Prime Hotel,",AJC Bose Road,"1,800 for 2 (approx)",Finger Food,North Indian,Chinese
La Letizia Cafe & Restro,4.0,Ballygunge,South Kolkata,800 for 2 (approx),Chinese,North Indian,Fast Food
The Dark Barrel,3.8,Salt Lake,East Kolkata,"1,800 for 2 (approx)",Chinese,Continental,North Indian
Mintelaa,4.2,Minto Park,South Kolkata,"1,100 for 2 (approx)",North Indian,Continental,Asian
Scrapyard,4.3,Camac Street,Central Kolkata,"1,500 for 2 (approx)",North Indian,Chinese,Continental
Chai Break - Ballygunge,4.3,Ballygunge,South Kolkata,800 for 2 (approx),Chinese,Italian,Beverages
Casa Kitchen,4.3,"Casa Fortuna Hotel,",AJC Bose Road,"1,200 for 2 (approx)",Chinese,North Indian,Continental
Deli Cravings,3.7,Minto Park,South Kolkata,800 for 2 (approx),Italian,Burger,Continental
Rendezvous,4.1,"Hotel Monotel,",Salt Lake,"1,100 for 2 (approx)",Bengali,Continental,North Indian
Capella Kitchen & SkyBar,4.2,"Altair Boutique Hotel,",Salt Lake,"1,800 for 2 (approx)",Finger Food,Asian,Continental
Reality,4.1,Camac Street,Central Kolkata,"1,400 for 2 (approx)",North Indian,Continental,Japanese
Haldiram's,3.8,Camac Street,Central Kolkata,400 for 2 (approx),North Indian,South Indian,Chinese
Double Down,4.4,Elgin Road,South Kolkata,"2,500 for 2 (approx)",Chinese,North Indian,Continental
I Love Haldiram,4.2,Ballygunge,South Kolkata,400 for 2 (approx),Street Food,Chinese,Fast Food
Hit Wicket,3.8,Ballygunge,South Kolkata,"1,200 for 2 (approx)",Chinese,North Indian,Fast Food
Annu's Cuisinee,4.3,Howrah,Howrah,500 for 2 (approx),Chinese,North Indian,South Indian
Tram Deepo,3.8,Ballygunge,South Kolkata,"2,000 for 2 (approx)",Finger Food,Chinese,North Indian
Kalash,4.0,"Hotel Hindusthan International,",AJC Bose Road,"1,800 for 2 (approx)",Mughlai,Bengali,North Indian
TGI Friday's,4.3,"Forum Mall,",Elgin Road,"1,700 for 2 (approx)",North Indian,Continental,Fast Food
Red Kitchen and Lounge,4.3,"Diamond Plaza Mall,",Jessore Road,"1,000 for 2 (approx)",Chinese,North Indian,Continental
Stardom,4.4,Elgin Road,South Kolkata,"1,000 for 2 (approx)",Continental,Mexican,North Indian
Ciel Cafe and Diner,3.8,Salt Lake,East Kolkata,"1,500 for 2 (approx)",Chinese,North Indian,Continental
The Vibe,4.1,Elgin Road,South Kolkata,800 for 2 (approx),Fusion,Chinese,Beverages
Chak De Phatte,3.5,Sinthi,North Kolkata,"1,000 for 2 (approx)",North Indian,Chinese,Mughlai
11 To 11 Tastebusterzz,3.9,"Diamond Plaza Mall,",Jessore Road,"1,100 for 2 (approx)",Chinese,North Indian,Italian
Cafe Offbeat - Up There,4.1,Topsia,East Kolkata,"1,200 for 2 (approx)",Continental,Asian,North Indian
Tyre Patty,4.3,Elgin Road,South Kolkata,"1,000 for 2 (approx)",Finger Food,Chinese,Continental
The Tavern Lounge,4.4,Bidhannagar,East Kolkata,"1,800 for 2 (approx)",Continental,Chinese,North Indian
Sly Fox Gastro Club,4.4,"Globsyn Crystals Building,",Salt Lake,"2,000 for 2 (approx)",Chinese,Continental,North Indian
Rang De Basanti Dhaba,3.8,"Diamond Plaza Mall,",Jessore Road,700 for 2 (approx),North Indian,Chinese,Biryani
Bohemian Cafe,4.2,Elgin Road,South Kolkata,700 for 2 (approx),Chinese,Fast Food,Beverages
Starstruck,3.9,"Forum Mall,",Elgin Road,"1,400 for 2 (approx)",North Indian,Chinese,Continental
Fusion,3.7,Liluah,Howrah,400 for 2 (approx),North Indian,Chinese,Seafood
The Bikers Cafe,4.3,"Platinum Mall,",Elgin Road,"1,100 for 2 (approx)",Continental,Italian,North Indian
Red Xpress,4.2,"Bengal Intelligent Park Limited,",Salt Lake,"1,500 for 2 (approx)",Chinese,North Indian,Continental
Chai Break - Allenby Road,4.3,Elgin Road,South Kolkata,800 for 2 (approx),Chinese,Italian,Mexican
Kolkata Mixtape,4.0,Elgin Road,South Kolkata,"1,200 for 2 (approx)",North Indian,Chinese,Continental
Pour House,4.2,Salt Lake,East Kolkata,"1,800 for 2 (approx)",North Indian,Chinese,Continental
Five Mad Men,4.3,"BIPL Omega Building,",Salt Lake,"2,000 for 2 (approx)",Continental,North Indian,Italian
Hi Brew,4.3,"Senses Hotel,",Salt Lake,"1,100 for 2 (approx)",North Indian,Chinese,Mughlai
Bakstage Gourmet,4.0,"Insignia Tower,",Salt Lake,"1,500 for 2 (approx)",Continental,North Indian,Chinese
The Cult By Bikers Cafe,4.3,"Globsyn Crystals Building,",Salt Lake,"2,200 for 2 (approx)",North Indian,Continental,Asian
Cloud Tavern,4.4,Sarat Bose Road,South Kolkata,"1,600 for 2 (approx)",Finger Food,Chinese,Continental
Refinery091,4.3,"Globsyn Crystals Building,",Salt Lake,"2,000 for 2 (approx)",Finger Food,Italian,Chinese
Pepper Chino,4.3,"The Samilton Hotel,",Sarat Bose Road,"1,600 for 2 (approx)",Asian,North Indian,Continental
Firangi Dhaba,4.2,Salt Lake,East Kolkata,700 for 2 (approx),Chinese,North Indian,Asian
Sloshed By Spice Kraft,4.0,Salt Lake,East Kolkata,"1,600 for 2 (approx)",Asian,Continental,Finger Food
