name,ratings,location1,location2,est. bill amt.,cuisine1,cuisine2,cuisine3
The Bhoj Company,3.9,New Market,Central Kolkata,600 for 2 (approx),Bengali,Chinese,North Indian
Subway,4.1,Salt Lake,East Kolkata,500 for 2 (approx),Fast Food,,
Kouzina Marine,4.3,Salt Lake,East Kolkata,"1,400 for 2 (approx)",Continental,North Indian,Italian
Sanjha Chulha,4.1,Park Circus,South Kolkata,"1,200 for 2 (approx)",North Indian,,
Aura,3.9,"The Sonnet Hotel,",Salt Lake,"1,400 for 2 (approx)",North Indian,Chinese,
Ego Retro Lounge,3.6,"The Peerless Inn,",Esplanade,"3,400 for 2 (approx)",Finger Food,Chinese,Asian
Blue & Beyond,3.8,"The Lindsay Kolkata,",Dharmatala,"1,300 for 2 (approx)",Chinese,North Indian,Continental
Oudh 1590,4.3,Salt Lake,East Kolkata,"1,400 for 2 (approx)",Mughlai,Biryani,Awadhi
Zaranj,4.3,New Market,Central Kolkata,"2,200 for 2 (approx)",North Indian,,
Peter Cat,4.3,Park Street,Central Kolkata,"1,000 for 2 (approx)",Continental,North Indian,Fast Food
Upland Salt,,Bidhannagar,East Kolkata,"1,000 for 2 (approx)",Asian,Fast Food,
Noir,4.1,"Golden Tulip,",Salt Lake,"1,400 for 2 (approx)",Continental,Chinese,North Indian
Wow! Momo,4.3,Lake Town,East Kolkata,400 for 2 (approx),Tibetan,Fast Food,
Pizza Hut,,"City Centre 1,",Salt Lake,800 for 2 (approx),Pizza,Fast Food,
Wow! Momo,3.8,"New Empire Cinema,",New Market,400 for 2 (approx),Tibetan,Fast Food,
Scoop,3.8,"New Empire Cinema,",New Market,"1,000 for 2 (approx)",Fast Food,Continental,Beverages
Flambe,4,"Hotel The Sojourn,",Salt Lake,"1,000 for 2 (approx)",North Indian,Chinese,Bengali
Speak Easy,3.8,"New Empire Cinema,",New Market,"1,800 for 2 (approx)",Finger Food,Continental,North Indian
Sky View Cafe,3.9,"De Sovrani,",Salt Lake,"1,400 for 2 (approx)",Continental,,
Kasturi Restaurant,3.8,New Market,Central Kolkata,700 for 2 (approx),Bengali,,
Kafe Caramel,4,"Hotel Kempton,",Taltala,600 for 2 (approx),Continental,,
Cafe Coffee Day,4.3,Lake Town,East Kolkata,900 for 2 (approx),Beverages,Fast Food,
Subway,4.2,Lake Town,East Kolkata,500 for 2 (approx),Fast Food,,
Loca Kitchen & Lounge,3.7,Salt Lake,East Kolkata,800 for 2 (approx),Italian,Continental,Chinese
Pizza Hut,4.3,Howrah,Howrah,800 for 2 (approx),Pizza,Fast Food,
7/12 Fried Ice Cream Parlour,,Park Street,Central Kolkata,300 for 2 (approx),Desserts,,
JW Kitchen,4.3,"JW Marriott Hotel Kolkata,",JBS Haldane Avenue,"3,500 for 2 (approx)",Continental,European,Pizza
Kung Pao,4.2,Salt Lake,East Kolkata,800 for 2 (approx),Burmese,Chinese,
Charnock’s,3.9,Salt Lake,East Kolkata,"1,400 for 2 (approx)",North Indian,Bengali,Seafood
Banjara,3.8,New Market,Central Kolkata,700 for 2 (approx),North Indian,Continental,Chinese
Mugs and Shots,3.7,Taltala,Central Kolkata,"1,000 for 2 (approx)",Continental,Italian,Mexican
Barista Coffee,3.7,"New Empire Cinema,",New Market,500 for 2 (approx),Beverages,Desserts,Fast Food
Eaterniaa,4.2,Park Street,Central Kolkata,"1,000 for 2 (approx)",Chinese,Continental,
Blue Sky Cafe,3.8,New Market,Central Kolkata,900 for 2 (approx),Continental,Italian,Chinese
Chin Wah,,Chandni Chowk,Central Kolkata,400 for 2 (approx),Chinese,,
The Cafe Harmony,,Park Street,Central Kolkata,"1,000 for 2 (approx)",Chinese,North Indian,
The Lords and Barons,4.2,Park Street,Central Kolkata,"2,000 for 2 (approx)",North Indian,Continental,Asian
Don Giovanni's,4.1,Salt Lake,East Kolkata,"1,000 for 2 (approx)",Italian,North Indian,Bengali
Golden City,,Salt Lake,East Kolkata,800 for 2 (approx),Chinese,Asian,
Pizza Hut,,Park Street,Central Kolkata,800 for 2 (approx),Pizza,Fast Food,
The Verandah,4.2,Bidhannagar,East Kolkata,800 for 2 (approx),Bengali,Fast Food,Beverages
Oceanic,,"The Peerless Inn,",Esplanade,"2,500 for 2 (approx)",European,North Indian,
Qube,3.7,"Hotel The Sojourn,",Salt Lake,"1,500 for 2 (approx)",Continental,North Indian,Chinese
Kareem's,4.2,Park Street,Central Kolkata,"1,500 for 2 (approx)",Mughlai,North Indian,Seafood
Zen,,"The Park Hotel,",Park Street,"2,500 for 2 (approx)",Malaysian,Chinese,Thai
New Veg Adda,,Howrah,Howrah,400 for 2 (approx),North Indian,Chinese,Fast Food
Peter Hu,4.3,Park Street,Central Kolkata,"1,000 for 2 (approx)",Chinese,,
The Blue Poppy,4,Lake Town,East Kolkata,500 for 2 (approx),Tibetan,Chinese,
Olterra,4.2,Park Street,Central Kolkata,"2,200 for 2 (approx)",North Indian,Italian,Continental
Hotel Shivam Restaurant & Bar,4.3,"Hotel Shivam,",Howrah,"1,000 for 2 (approx)",North Indian,Chinese,Continental
Orko'ss Express Cafe,3.5,New Market,Central Kolkata,800 for 2 (approx),Chinese,North Indian,
